face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_index,review_status,standard_named_geometry_matches,web_named_geometry_matches,matched_camera_evidence,verification,review_notes
rear,Riser 1B PCIe filler brackets,2,2,1,slot 2 above slot 3,wide horizontal,upper-left quadrant,recessed behind perforated covers,silver galvanized perforated steel,https://www.dell.com/support/manuals/en-us/poweredge-r7515/per7515_ism_pub/rear-view-of-the-system?guid=guid-ece33925-e823-441f-b2be-65a868938bb4&lang=en-us,verified,11,PASS_EXACT,Rear_PCIeSlot4_FrameBottom|Rear_PCIeSlot4_FrameLeft|Rear_PCIeSlot4_FrameRight|Rear_PCIeSlot4_FrameTop|Rear_PCIeSlot5_FrameBottom|Rear_PCIeSlot5_FrameLeft|Rear_PCIeSlot5_FrameRight|Rear_PCIeSlot5_FrameTop|Rear_Riser1B_Slot2_FrameBottom|Rear_Riser1B_Slot2_FrameLeft|Rear_Riser1B_Slot2_FrameRight|Rear_Riser1B_Slot2_FrameTop,Rear_PCIeSlot4_FrameBottom|Rear_PCIeSlot4_FrameLeft|Rear_PCIeSlot4_FrameRight|Rear_PCIeSlot4_FrameTop|Rear_PCIeSlot5_FrameBottom|Rear_PCIeSlot5_FrameLeft|Rear_PCIeSlot5_FrameRight|Rear_PCIeSlot5_FrameTop|Rear_Riser1B_Slot2_FrameBottom|Rear_Riser1B_Slot2_FrameLeft|Rear_Riser1B_Slot2_FrameRight|Rear_Riser1B_Slot2_FrameTop,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,central upper exhaust grille,1,1,1,grille,large rectangular,upper-middle,perforated depth/opaque dark recess,silver frame black depth,source/originals/official-rear-no-rear-drives.jpg,verified,12,PASS_EXACT,Rear_CentralExhaust_FrameBottom|Rear_CentralExhaust_FrameLeft|Rear_CentralExhaust_FrameRight|Rear_CentralExhaust_FrameTop,Rear_CentralExhaust_FrameBottom|Rear_CentralExhaust_FrameLeft|Rear_CentralExhaust_FrameRight|Rear_CentralExhaust_FrameTop,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,PCIe slots 4 and 5,2,1,2,slot 4 then slot 5,tall narrow,right-middle,perforated recessed filler brackets,silver galvanized steel,source/originals/official-rear-no-rear-drives.jpg,verified,13,PASS_EXACT,Rear_PCIeSlot4_FrameBottom|Rear_PCIeSlot4_FrameLeft|Rear_PCIeSlot4_FrameRight|Rear_PCIeSlot4_FrameTop|Rear_PCIeSlot5_FrameBottom|Rear_PCIeSlot5_FrameLeft|Rear_PCIeSlot5_FrameRight|Rear_PCIeSlot5_FrameTop|Rear_Riser1B_Slot2_FrameBottom|Rear_Riser1B_Slot2_FrameLeft|Rear_Riser1B_Slot2_FrameRight|Rear_Riser1B_Slot2_FrameTop,Rear_PCIeSlot4_FrameBottom|Rear_PCIeSlot4_FrameLeft|Rear_PCIeSlot4_FrameRight|Rear_PCIeSlot4_FrameTop|Rear_PCIeSlot5_FrameBottom|Rear_PCIeSlot5_FrameLeft|Rear_PCIeSlot5_FrameRight|Rear_PCIeSlot5_FrameTop|Rear_Riser1B_Slot2_FrameBottom|Rear_Riser1B_Slot2_FrameLeft|Rear_Riser1B_Slot2_FrameRight|Rear_Riser1B_Slot2_FrameTop,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,serial DB9,1,1,1,serial,medium,left I/O cluster upper-left,recessed,teal connector silver shell,source/third-party/itc-rear-ports-left.png,verified,14,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,rear VGA DB15,1,1,1,VGA,medium,left I/O cluster lower-left,recessed,blue connector silver shell,source/third-party/itc-rear-ports-left.png,verified,15,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,USB 3.0 ports,2,2,1,top to bottom,small,left I/O cluster center,recessed,black/blue sockets,source/third-party/itc-rear-ports-center.png,verified,16,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,dedicated iDRAC RJ45,1,1,1,iDRAC,small,left I/O cluster,recessed,black RJ45 in silver frame,source/third-party/itc-rear-ports-left.png,verified,17,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,integrated Gb Ethernet RJ45,2,2,1,Gb1 above Gb2,small,left I/O cluster right side,recessed,black RJ45 green/yellow LEDs,source/third-party/itc-rear-ports-left.png,verified,18,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,optional LOM/OCP two-port module,1,1,1,two network ports,medium,lower-center,recessed module with twin port cavities,silver bracket black ports green LEDs,source/originals/user-row10-rear-8x.png,verified,19,PASS_EXACT,Rear_OCP_LOM_Block_FrameBottom|Rear_OCP_LOM_Block_FrameLeft|Rear_OCP_LOM_Block_FrameRight|Rear_OCP_LOM_Block_FrameTop,Rear_OCP_LOM_Block_FrameBottom|Rear_OCP_LOM_Block_FrameLeft|Rear_OCP_LOM_Block_FrameRight|Rear_OCP_LOM_Block_FrameTop,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,CMA status cable port,1,1,1,CMA,small,far lower-left,round/recessed,black,source/originals/official-rear-no-rear-drives.jpg,verified,20,PASS_EXACT,Front_StatusLED_1|Front_StatusLED_2|Front_StatusLED_3|Front_StatusLED_4|Front_StatusLED_5,Front_StatusLED_1|Front_StatusLED_2|Front_StatusLED_3|Front_StatusLED_4|Front_StatusLED_5,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,system identification button,1,1,1,system ID,small,far lower-left next to CMA,slightly raised,black/silver,source/originals/official-rear-no-rear-drives.jpg,verified,21,PASS_EXACT,Front_PowerButton,Front_PowerButton,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,AC power supply modules,2,2,1,PSU1 above PSU2,large,far-right,project 34.685 mm beyond chassis body,silver module black C14 inlet orange latch black fan green EPP 750W hub,https://serverlama.com/en/products/dell-r7515-12x-lff,verified,22,PASS_EXACT,Left_PSU_HandleLoop_1|Left_PSU_HandleLoop_2|Rear_AC_PSU_1_FanRim|Rear_AC_PSU_1_Module|Rear_AC_PSU_1_OrangeLatch|Rear_AC_PSU_1_SourceSurface|Rear_AC_PSU_2_FanRim|Rear_AC_PSU_2_Module|Rear_AC_PSU_2_OrangeLatch|Rear_AC_PSU_2_SourceSurface|Right_PSU_HandleLoop_1|Right_PSU_HandleLoop_2,Left_PSU_HandleLoop_1|Left_PSU_HandleLoop_2|Rear_AC_PSU_1_FanRim|Rear_AC_PSU_1_Module|Rear_AC_PSU_1_OrangeLatch|Rear_AC_PSU_1_SourceSurface|Rear_AC_PSU_2_FanRim|Rear_AC_PSU_2_Module|Rear_AC_PSU_2_OrangeLatch|Rear_AC_PSU_2_SourceSurface|Right_PSU_HandleLoop_1|Right_PSU_HandleLoop_2,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,PSU fan assemblies,2,2,1,same as PSU order,large circular,PSU right half,recessed rotating cavity with raised cross brace,black fan silver screws green/white EPP hub,source/third-party/serverlama-r7515-back.jpg,verified,23,PASS_EXACT,Rear_AC_PSU_1_FanRim|Rear_AC_PSU_2_FanRim|Left_PSU_HandleLoop_1|Left_PSU_HandleLoop_2|Rear_AC_PSU_1_Module|Rear_AC_PSU_1_OrangeLatch|Rear_AC_PSU_1_SourceSurface|Rear_AC_PSU_2_Module|Rear_AC_PSU_2_OrangeLatch|Rear_AC_PSU_2_SourceSurface|Right_PSU_HandleLoop_1|Right_PSU_HandleLoop_2,Rear_AC_PSU_1_FanRim|Rear_AC_PSU_2_FanRim|Left_PSU_HandleLoop_1|Left_PSU_HandleLoop_2|Rear_AC_PSU_1_Module|Rear_AC_PSU_1_OrangeLatch|Rear_AC_PSU_1_SourceSurface|Rear_AC_PSU_2_Module|Rear_AC_PSU_2_OrangeLatch|Rear_AC_PSU_2_SourceSurface|Right_PSU_HandleLoop_1|Right_PSU_HandleLoop_2,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
rear,rear drive cage,0,0,0,absent,none,upper center-right,absent,not applicable,source/originals/user-row10-lock.png,verified,24,PASS_EXACT,DriveCarrier_0_0|DriveCarrier_0_1|DriveCarrier_0_2|DriveCarrier_0_3|DriveCarrier_1_0|DriveCarrier_1_1|DriveCarrier_1_2|DriveCarrier_1_3|DriveCarrier_2_0|DriveCarrier_2_1|DriveCarrier_2_2|DriveCarrier_2_3,DriveCarrier_0_0|DriveCarrier_0_1|DriveCarrier_0_2|DriveCarrier_0_3|DriveCarrier_1_0|DriveCarrier_1_1|DriveCarrier_1_2|DriveCarrier_1_3|DriveCarrier_2_0|DriveCarrier_2_1|DriveCarrier_2_2|DriveCarrier_2_3,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,fixed front label deck,1,1,1,label deck,full body width shallow depth,front 130 mm,slightly stepped,galvanized metal with factory service labels,source/third-party/serverlama-r7515-front-diagonal.jpg,verified,25,PASS_EXACT,Top_FixedLabelDeck,Top_FixedLabelDeck,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,removable system cover,1,1,1,cover,most of body width/depth,center/rear,raised sheet panel with edge seams,galvanized silver steel,source/pdf-pages/dell-poweredge-r7515-installation-service-manual-p030.png,verified,26,PASS_EXACT,Top_RemovableCover|Top_CoverFrontSeam|Top_CoverReleaseLatch,Top_RemovableCover|Top_CoverFrontSeam|Top_CoverReleaseLatch,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,system-cover release latch,1,1,1,latch,small,slightly forward of cover center,raised hinged mechanism,black/dark metal,source/pdf-pages/dell-poweredge-r7515-installation-service-manual-p030.png,verified,27,PASS_EXACT,Top_CoverReleaseLatch|DriveLatchBlock_0_0|DriveLatchBlock_0_1|DriveLatchBlock_0_2|DriveLatchBlock_0_3|DriveLatchBlock_1_0|DriveLatchBlock_1_1|DriveLatchBlock_1_2|DriveLatchBlock_1_3|DriveLatchBlock_2_0|DriveLatchBlock_2_1|DriveLatchBlock_2_2,Top_CoverReleaseLatch|DriveLatchBlock_0_0|DriveLatchBlock_0_1|DriveLatchBlock_0_2|DriveLatchBlock_0_3|DriveLatchBlock_1_0|DriveLatchBlock_1_1|DriveLatchBlock_1_2|DriveLatchBlock_1_3|DriveLatchBlock_2_0|DriveLatchBlock_2_1|DriveLatchBlock_2_2,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,rear ventilation strip,1,1,1,vent strip,long narrow,near rear cover edge,perforated recessed/open-looking dark relief,galvanized grille with dark holes,source/third-party/serverlama-r7515-back-diagonal.jpg,verified,28,PASS_EXACT,Top_RearVentStrip,Top_RearVentStrip,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,asymmetric stamped slots/seams,3,1,3,small left slot; central cover seam/latch; small right outline,small,distributed over cover,flush/stamped,galvanized metal,source/third-party/serverlama-r7515-front-diagonal.jpg,verified,29,PASS_EXACT,Rear_PCIeSlot4_FrameBottom|Rear_PCIeSlot4_FrameLeft|Rear_PCIeSlot4_FrameRight|Rear_PCIeSlot4_FrameTop|Rear_PCIeSlot5_FrameBottom|Rear_PCIeSlot5_FrameLeft|Rear_PCIeSlot5_FrameRight|Rear_PCIeSlot5_FrameTop|Rear_Riser1B_Slot2_FrameBottom|Rear_Riser1B_Slot2_FrameLeft|Rear_Riser1B_Slot2_FrameRight|Rear_Riser1B_Slot2_FrameTop,Rear_PCIeSlot4_FrameBottom|Rear_PCIeSlot4_FrameLeft|Rear_PCIeSlot4_FrameRight|Rear_PCIeSlot4_FrameTop|Rear_PCIeSlot5_FrameBottom|Rear_PCIeSlot5_FrameLeft|Rear_PCIeSlot5_FrameRight|Rear_PCIeSlot5_FrameTop|Rear_Riser1B_Slot2_FrameBottom|Rear_Riser1B_Slot2_FrameLeft|Rear_Riser1B_Slot2_FrameRight|Rear_Riser1B_Slot2_FrameTop,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
left,side wall panel,1,1,1,left side,full body depth/height,body side,folded sheet-metal relief,galvanized silver steel,source/third-party/serversstorages-r7515-view.jpg,verified,30,PASS_EXACT,Left_SideHole_1|Left_SideHole_2|Left_SideHole_3|Left_SideHole_4|Left_SideHole_5|Left_SideHole_6|Right_SideHole_1|Right_SideHole_2|Right_SideHole_3|Right_SideHole_4|Right_SideHole_5|Right_SideHole_6,Left_SideHole_1|Left_SideHole_2|Left_SideHole_3|Left_SideHole_4|Left_SideHole_5|Left_SideHole_6|Right_SideHole_1|Right_SideHole_2|Right_SideHole_3|Right_SideHole_4|Right_SideHole_5|Right_SideHole_6,qa/rotation-review-20260827/matched-camera/three-standard/left/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
left,side rail channel and holes,1,1,1,independent left pattern,long stamped rectangle plus round/small holes,mid-height across side,recessed/raised stamp and through-looking dark holes,galvanized sheet metal,source/third-party/serversstorages-r7515-view.jpg,verified,31,PASS_EXACT,Left_RailChannel_Relief|Right_RailChannel_Relief|Left_SideHole_1|Left_SideHole_2|Left_SideHole_3|Left_SideHole_4|Left_SideHole_5|Left_SideHole_6|Right_SideHole_1|Right_SideHole_2|Right_SideHole_3|Right_SideHole_4,Left_RailChannel_Relief|Right_RailChannel_Relief|Left_SideHole_1|Left_SideHole_2|Left_SideHole_3|Left_SideHole_4|Left_SideHole_5|Left_SideHole_6|Right_SideHole_1|Right_SideHole_2|Right_SideHole_3|Right_SideHole_4,qa/rotation-review-20260827/matched-camera/three-standard/left/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
right,side wall panel,1,1,1,right side,full body depth/height,body side,folded sheet-metal relief,galvanized silver steel,source/third-party/serversstorages-r7515-588.jpg,verified,32,PASS_EXACT,Left_SideHole_1|Left_SideHole_2|Left_SideHole_3|Left_SideHole_4|Left_SideHole_5|Left_SideHole_6|Right_SideHole_1|Right_SideHole_2|Right_SideHole_3|Right_SideHole_4|Right_SideHole_5|Right_SideHole_6,Left_SideHole_1|Left_SideHole_2|Left_SideHole_3|Left_SideHole_4|Left_SideHole_5|Left_SideHole_6|Right_SideHole_1|Right_SideHole_2|Right_SideHole_3|Right_SideHole_4|Right_SideHole_5|Right_SideHole_6,qa/rotation-review-20260827/matched-camera/three-standard/right/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
