face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,verification_method,evidence,expected_count_check,standard_status,web_status,residual_risk
rear,rear carry/retention handle,1,1,1,black horizontal handle,long,lower middle-left,projecting tubular geometry,black metal,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,system ID controls,2,1,2,ID button; ID connector,tiny,lower far left,recessed/flush,black/silver,https://www.dell.com/support/manuals/en-us/poweredge-r730/r730_ompublication/back-panel,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,iDRAC8 Enterprise RJ45,1,1,1,iDRAC,small,lower left,recessed port with metal frame,black/green board edge,https://www.dell.com/support/manuals/en-us/poweredge-r730/r730_ompublication/back-panel,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,DB9 serial,1,1,1,serial,small,lower left-center,recessed connector,teal surround/silver pins,https://www.dell.com/support/manuals/en-us/poweredge-r730/r730_ompublication/back-panel,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,VGA,1,1,1,VGA,small,lower center-left,recessed connector,blue surround,https://www.dell.com/support/manuals/en-us/poweredge-r730/r730_ompublication/back-panel,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,USB 3.0,2,1,2,USB;USB,small,lower center-left,recessed black ports,black/silver,https://www.dell.com/support/manuals/en-us/poweredge-r730/r730_ompublication/back-panel,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,network daughter card RJ45,4,1,4,ports 1-4,medium,lower center,recessed port bank,black/silver with status lights,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 4 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,AC PSU modules,2,1,2,PSU1;PSU2,large,lower right,deep separate hot-swap blocks with projecting handles,galvanized/black fans/orange latches,https://www.youtube.com/watch?v=CVg_X-OO9Kc,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,PSU axial fans,2,1,2,one per PSU,medium,inside PSU rear faces,recessed fan geometry,black with green EPP 750W hub label,https://www.youtube.com/watch?v=CVg_X-OO9Kc,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
rear,IEC AC inlets,2,1,2,one per PSU,medium,left half of each PSU,recessed C14 geometry,black with orange release tab,https://www.youtube.com/watch?v=CVg_X-OO9Kc,verified,source-locked OPAQUE texture + non-coplanar relief/recess geometry,views/rear.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-180.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 2 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
left,side wall,1,1,1,physical left only,full body depth,body side,opaque closed sheet with upper folded lip,galvanized steel,https://www.youtube.com/watch?v=CVg_X-OO9Kc,verified-multi-reference,source-locked OPAQUE texture + separate silhouette/relief geometry,views/left.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-270.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
left,front ear,1,1,1,left ear,narrow/front only,front edge,projecting separate geometry,black,source/originals/user-row12-r730-lff.png,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/left.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-270.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
right,side wall,1,1,1,physical right only,full body depth,body side,opaque sheet with horizontal rail seam and discrete holes/studs,galvanized steel,https://manuals.plus/asin/B08D2B1NK7,verified-multi-reference,source-locked OPAQUE texture + separate silhouette/relief geometry,views/right.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-090.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
right,rail mounting studs,3,1,3,front;middle;rear,small,mid-height,projecting circular geometry,green-tinted zinc fastener,https://manuals.plus/asin/B08D2B1NK7,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/right.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-090.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 3 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
right,front ear,1,1,1,right ear,narrow/front only,front edge,projecting separate geometry,black,source/originals/user-row12-r730-lff.png,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/right.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-090.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/yaw-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,system cover,1,1,1,front label strip;main lid;rear steps,full body,top,closed removable lid,galvanized sheet metal,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,cover latch,1,1,1,central black latch,small,slightly forward of center,recessed pocket plus raised lever,black plastic/metal,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,long stamped rib,1,1,1,left-to-right orientation across body,long,front half of main lid,shallow raised stamping,galvanized metal,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture + separate silhouette/relief geometry,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,front instruction labels,5,1,5,regulatory;configuration;service graphics;legend;QR block,long strip,front top band,flush printing,white/black/orange factory labels,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture; relief retained where physical,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 5 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
top,DELL emboss,1,1,1,DELL,medium,front-left top band,stamped relief,galvanized metal,https://www.ebay.com/itm/387258968614,verified,source-locked OPAQUE texture; relief retained where physical,views/top.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS,PASS,none within locked visible configuration
bottom,controlled fallback sheet,1,1,1,no unsupported details,444:684 body ratio,bottom,closed opaque surface,galvanized steel matched to exact side material,source/bottom-search-log.md,bottom-fallback,controlled generic-bottom texture + closed-core geometry,views/bottom.png; qa/rotation-review-20260827/final/evidence/matched-camera/four-up-yaw-045.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-three-standard.png; qa/rotation-review-20260827/final/evidence/contact-sheets/pitch-babylon-web.png,PASS — expected 1 retained in source-lock and/or named relief,PASS_WITH_BOTTOM_FALLBACK,PASS_WITH_BOTTOM_FALLBACK,generic underside only
