file,sha256,dimensions,visual_class,exact_device_content,face_or_angle,accepted_role,inspection_result
content-13,7f8861c42b527d3540bb3b982ac6065698641c4b3f0a1fd8b8e4679644edd446,2751x1743,REAL_PHOTO,"complete internal motherboard/fan/PSU layout",open-chassis top,"internal exclusion and side-lip support only",NOT_EXTERIOR_FACE
content-14,bc6d0574ec8b373278b1c8fd7560abedc263823ff67d2dad89682d8ef1ffaa9b,3283x2461,REAL_PHOTO,"motherboard close-up",internal close-up,"internal exclusion only",NOT_EXTERIOR_FACE
content-15,280b3cdd34de854878cf56cc3d2b4742684ab8f0e8070e031e1c0be556b0980a,2268x1516,REAL_PHOTO,"no rear disks; SM211 two-port NIC; blank PCIe; dual vertically stacked PSU",rear/open-top near-straight,"rear binding support",ACCEPT_WITH_ANNOTATION_AND_SELLER_OVERLAY_EXCLUSION
content-16,ab5e35366a76792730457d70609f70fa86c4d7744891226473a2be7d0693cb89,1649x1239,REAL_PHOTO,"three detached flexible-NIC options",detached parts,"SM211/SM212 option distinction only",ACCEPT_SUPPORT_ONLY_NOT_INSTALLED_FACE
content-17,fdf034a6c34f069ddb58b0fb82533aa6fbf827170a8af1cbf14dcf2419292391,2387x1798,REAL_PHOTO,"complete internal motherboard overview",open-chassis top,"explicit rear-exclusion record",NOT_REAR_NOT_EXTERIOR_FACE
content-18,2dd3f72bf966c654ee4653f68b6571d457a6de796b83cf383c678d0dff56c67c,2808x2128,REAL_PHOTO,"annotated internal motherboard overview",open-chassis top,"internal exclusion only",NOT_EXTERIOR_FACE
content-19,999ca3018b1fccfe9a95548b8d16b99001f1ac757bcdf01e3fd76853a4ba1bf0,1754x1277,REAL_PHOTO,"PCIe riser connector close-up",internal close-up,"PCIe documentation support only",NOT_EXTERIOR_FACE
content-20,0ce10cda9c766f8d24c3d104bd1b9500f891b0d77f4f2fa54163304cdc60c726,1523x1118,REAL_PHOTO,"onboard PCIe connector close-up",internal close-up,"PCIe documentation support only",NOT_EXTERIOR_FACE
content-21,b468b4c14c505a4c876eb95409c614308b77a1e9748799806ed3097657c18596,955x1240,REAL_PHOTO,"motherboard SATA/USB/power connector close-up",internal close-up,"explicit rear-exclusion record",NOT_REAR_NOT_EXTERIOR_FACE
content-22,19948dd2d42924ecd9c8806de00e7ac4c0ce655789c1f48ffb1b9314cadc72f5,2334x1188,REAL_PHOTO,"no rear disks; SM211 two-port NIC; blank PCIe; dual vertically stacked PSU",rear-top three-quarter,"rear geometry/material support",ACCEPT_WITH_SELLER_OVERLAY_EXCLUSION
content-23,98c5f32bb0c725ec7da6ae8b35d5581b4bfb256d9b4eb42341744cd5fd38880e,3201x1990,REAL_PHOTO,"console group and two stacked AC PSU modules",rear-right close-up,"rear PSU/console detail",ACCEPT_WITH_SELLER_OVERLAY_EXCLUSION
content-24,90ff43a76f6bfad068e891c979c0875264450b67631b6a528d35b7f78d36f840,2126x1539,REAL_PHOTO,"one PSU removed; second PSU installed; text states 460/750 W compatibility and default 460 W",rear PSU detail,"PSU arrangement/BOM support only",ACCEPT_WITH_ANNOTATION_AND_SELLER_OVERLAY_EXCLUSION
ruten-318.jpg,08aaeea1d7ec3d17c23633abe805a1c16dcbfce790ed57555e619284d02a5e1b,800x575,REAL_PHOTO_DERIVATIVE,"duplicate lower-resolution front/top thumbnail",front-top three-quarter,none,REJECT_DUPLICATE_LOW_RES
ruten-469.jpg,08aaeea1d7ec3d17c23633abe805a1c16dcbfce790ed57555e619284d02a5e1b,800x575,REAL_PHOTO_DERIVATIVE,"byte-identical duplicate of ruten-318.jpg",front-top three-quarter,none,REJECT_DUPLICATE
ruten-567.jpg,9364865aaa2b6558426ee23660f6f894723488c369760735533654a657aea815,800x564,REAL_PHOTO_DERIVATIVE,"lower-resolution front-left thumbnail",front-left three-quarter,none,REJECT_DUPLICATE_LOW_RES
ruten-596.jpg,9364865aaa2b6558426ee23660f6f894723488c369760735533654a657aea815,800x564,REAL_PHOTO_DERIVATIVE,"byte-identical duplicate of ruten-567.jpg",front-left three-quarter,none,REJECT_DUPLICATE
ruten-812.jpg,f51510aff7836782782d673e834a521eabd228cd5ced4ba168079df35467fa24,800x800,SELLER_PROMO_DERIVATIVE,"seller title card containing reduced front image",promotional composite,none,REJECT_PROMO_NOT_SOURCE
