path,sha256,pixels,source_class,exact_pid,configuration,face_or_angle,cropping_or_modification,proves_or_excludes,binding_role,inspection_status,source_url_or_parent
source/pdf-pages/owners-manual-page-06.png,007c5c9d4f98bdbf9c63b48c82a87e1ea0e19207c9233c60571aebccb206c816,1819x2573,official PDF render,yes,three-riser chassis,rear diagram,"rendered page","three LP blanks; ID/iDRAC/serial/VGA/USB; PSU positions",binding structure,INSPECTED_ORIGINAL,https://www.dell.com/support/manuals/en-us/poweredge-r630/r630_om_pub/three-riser-chassis
source/pdf-pages/owners-manual-page-07.png,52bada060af40d09472019efdba70b7249211a4e67b9ca8919ee6ff751aa970e,1819x2573,official PDF render,yes,power supplies,PSU diagrams,"rendered page","hot-plug AC PSU construction and exclusions",support,INSPECTED_ORIGINAL,source/originals/poweredge-r630-owners-manual-en-us-180912.pdf
source/pdf-pages/spec-sheet-page-01.png,b43b620928071780cb2612771d7ba0b8a755e903dc7d60065737ba4bfd0bf762,1870x2420,official PDF render,yes,R630 family,product overview,"rendered page","family identity and 1U class",support,INSPECTED_ORIGINAL,https://si.cdn.dell.com/sites/doccontent/shared-content/data-sheets/en/Documents/Dell-PowerEdge-R630-Spec-Sheet.pdf
source/pdf-pages/spec-sheet-page-02.png,60439c5b92bbc53b5389b4fd6cfd9d8395152f22550a26c493016e0c600c83aa,1870x2420,official PDF render,yes,R630 family,specification table,"rendered page","marketing dimensions and power options",support,INSPECTED_ORIGINAL,https://si.cdn.dell.com/sites/doccontent/shared-content/data-sheets/en/Documents/Dell-PowerEdge-R630-Spec-Sheet.pdf
source/pdf-pages/technical-guide-page-01.png,da4d502cb64a57f33c77516d6717558c65d4078baf24ee024677fb2473689370,1870x2420,official PDF render,yes,10-drive option,front orthographic render,"rendered page","10 carriers; numbering; Dell/PowerEdge control strip",binding structure,INSPECTED_ORIGINAL,https://i.dell.com/sites/doccontent/shared-content/data-sheets/en/Documents/Dell-PowerEdge-R630-Technical-Guide-v1-6.pdf
source/pdf-pages/technical-guide-page-02.png,be4f2db9fc9bb6bbd12b68f6d485e10c88f99be1ba5b022f9e9d91dc6fa87a12,1870x2420,official PDF render,yes,three-riser chassis,rear orthographic render,"rendered page","rear frame; DB9/VGA/USB; dual PSU silhouette",binding structure,INSPECTED_ORIGINAL,https://i.dell.com/sites/doccontent/shared-content/data-sheets/en/Documents/Dell-PowerEdge-R630-Technical-Guide-v1-6.pdf
source/third-party/ebay-257483086393-1.webp,cd85230d09fd4dfa47fecc74ba757b5aebdb050f391f9455c613efad3a89ce0f,1207x1303,real seller photo,yes,"empty front openings; loose 750W PSUs/cables",front/top,"seller scene; accessories on cover","chassis/top material only; front state excluded",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-2.webp,501472db895744195d9fae91104067d1f3d0cd4789c9dbbd38579d2a5cfe5625,1600x1200,real seller photo,yes,"front bezel attached; loose PSUs/cables",front/top,"seller scene","PowerEdge R630 branding; bezel state excluded",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-3.webp,f731dbf57596ffa8da05d90b6e287e6e27e3e64ed06a2a4db89c956c951a8233,1600x1200,real seller photo,yes,"empty front; Intel wing; loose PSU/cable",front-right,"seller scene","right-front wing/Intel badge and side edge",support,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-4.webp,9b18a91296fd6fa4a32850b557ffcf87a8af1188ba004fa99bf246823d388d2e,1600x1200,real seller photo,yes,"empty front openings; loose PSUs",front-left,"seller scene","left control wing and chassis front depth",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-5.webp,af0e44ca7cce0723b59fd000b539d18f130e5471581a9c34311f30803a44372a,1600x1200,real seller photo,yes,"empty front; loose PSUs",front-left close,"seller scene","left front wall/wing seam",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-6.webp,2d60fa54f1a96c3d4242f5144029d09d0797a67f5cad1affc213ba5dffdc86f1,1600x1200,real seller photo,yes,"empty front; Intel wing",front-right close,"seller scene","right-front wall/wing seam",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-7.webp,79e594db45ab41d2adad3e96a88103bc98b7685504e88dbe0d7c2c89a6640a50,1600x1200,real seller photo,yes,"long chassis; seller label; loose PSU/cables",physical left side close,"perspective; label and scene removed in reconstruction","left rail channel/studs/folds; metal character",binding side geometry,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-8.webp,e97717bd118df3a2ecf1ec442b943a1602a071b94c247ee6212dc61f4b2f94d4,1600x1200,real seller photo,yes,"long chassis; Intel wing; loose PSU/cables",physical right side close,"perspective; seller scene","right rail channel/studs/folds and Intel wing",binding side geometry,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-9.webp,08a143f6523bf0f7d54b2069576a2e4423508ba5efae0598f4ddecf0fbe90a8e,1200x1600,real seller photo,yes,750W PSU,PSU label/detail,"tight crop","EPP PSU material/form; wattage excluded",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-10.webp,251806efdad1a707f773db5137aef49e0d1b26de54170aca3bc81500c869fc4f,1200x1600,real seller photo,yes,"closed long chassis",top,"near-overhead; table edges visible","cover grain; vents; latch; service hatch; labels",binding top,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-11.webp,54e15527a11ba66b2a31eaf8fd73d2ed1a30624f245386e66a5084706f1a7650,1200x1600,real seller photo,yes,"cover removed",top/internal,"near-overhead; seller scene","seven internal hot-swap fan modules; long chassis",support internal,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-12.webp,278f91d542c8849ccfd25387ff230ee2e18291180eba1374c350548f1aaf8b3d,1200x1600,real seller photo,yes,"cover removed",internal close,"tight crop","CPU/RAM region only; no exterior binding",context-only,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-13.webp,2f6742814c2db17d4a8e5d4ee58d957b3e9bbb4b46198fd142cdaa464925378b,1200x1600,real seller photo,yes,"cover removed",riser/internal close,"tight crop","riser construction only",support internal,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-14.webp,4594c030680de079c51d778df5055e3a6c785b408bccc51b1ea80659c8be27c5,1600x1200,real seller photo,yes,"alternate 2×SFP+ + 2×RJ45 NDC; 750W strapped PSUs",rear,"seller background/cables","three-riser frame and PSU count; NDC/wattage/straps excluded",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-15.webp,82e9147646b635e32baa087fa33b5bd5f61a3dc98d4d35149ec254f495bd6ede,1600x1200,real seller photo,yes,"alternate NDC; 750W PSUs",rear-left,"seller background","rear frame/side/top seams; target NDC excluded",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/ebay-257483086393-16.webp,d9756748fdba6ebe6a759d55e4d2ff2573ffa3fcc63badcb2758b873712322f2,1600x1200,real seller photo,yes,"750W strapped PSUs",rear PSU close,"seller straps and background","C14/orange tab/fan/rigid handle/screws; 750W label/straps excluded",support-limited,INSPECTED_ORIGINAL,https://www.ebay.com/itm/257483086393
source/third-party/oneclickservers-r630-rear.png,40a63f4cd0aaffb06abecd475963004bbcf53cbf94cae849491270d1a6f15fb1,1600x1200,real reseller photo,yes,"three-riser; quad RJ45; dual EPP 1100W AC",rear,"straight; fabric straps treated as removable accessory","target rear port order and PSU identity",binding rear,INSPECTED_ORIGINAL,https://oneclickservers.com/cdn/shop/files/7345579589720_d04c196f-0141-4cd4-aa47-e81edb716cdc.png?v=1692832724
source/third-party/server360-r630-10sff-1.webp,72e535b426228df1065c89af39e48527366094a7bc9e17e557538eacbed66cd4,1680x945,real reseller photo,yes,"10SFF long chassis",front/top,"studio perspective; seller labels possible","10-bay silhouette and top material",support,INSPECTED_ORIGINAL,https://server360.ru/
source/third-party/server360-r630-10sff-2.webp,e8eb4406bfcd35c87c2beadb79f79b469cd1c0754b30afe37d920c01e25c5e3b,1680x945,real reseller photo,yes,"10SFF long chassis",front/top high,"studio perspective; small inventory label","top cover/vents/latch/labels and ten carriers",support top/quarter,INSPECTED_ORIGINAL,https://server360.ru/
source/third-party/server360-r630-10sff-3.webp,a4fc07a466c9202a4adc39e6d760a5988889580fbf9e42130b5f714f7d3c072d,1680x945,real reseller photo,yes,"10SFF long chassis",front/quarter,"studio perspective","ten-carrier layout and ears",support,INSPECTED_ORIGINAL,https://server360.ru/
source/third-party/server360-r630-10sff-4.webp,a4b361d811400c94f73276230f15f9c8e7ab978c02ae3e4937fc6377b9175d7c,1680x945,real reseller photo,yes,"10SFF long chassis",rear/quarter,"studio perspective; installed configuration checked","rear chassis silhouette only where configuration matches",support-limited,INSPECTED_ORIGINAL,https://server360.ru/
source/third-party/techmikeny-10bay-closed-quarter.jpg,008e9f17b100b8677a9cbd418a7cd8a10794c0b5e5cb301a95e7e1f3f184977d,1600x1600,real reseller photo,yes,"10SFF long chassis; bezel absent",front-right/top,"isolated white background","top/front/physical-right silhouette and real material",binding quarter/support top/right,INSPECTED_ORIGINAL,https://techmikeny.com/products/dell-poweredge-r630-server-10-bay-sff-3-20ghz-16-core-128gb-ram-7-2tb-storage
source/third-party/techmikeny-10bay-front.jpg,341b8ec93b79dac58c652e8c295003debbfa95d22e9ff795d74b5f408a34c11c,1600x1600,real reseller photo,yes,"10SFF; bezel absent",front,"isolated; near head-on","10 carriers; wings; Dell/PowerEdge; Intel badge; real wear",binding front,INSPECTED_ORIGINAL,https://techmikeny.com/products/dell-poweredge-r630-server-10-bay-sff-3-20ghz-16-core-128gb-ram-7-2tb-storage
source/third-party/techmikeny-10bay-open-quarter.jpg,d21bc1b7ba49beba9604db683e66810216499e001d83f894ad6189a204b56de7,1600x1600,real reseller photo,yes,"10SFF; cover removed",front/internal quarter,"isolated white background","fan row/drive backplane and outer front silhouette",support internal,INSPECTED_ORIGINAL,https://techmikeny.com/products/dell-poweredge-r630-server-10-bay-sff-3-20ghz-16-core-128gb-ram-7-2tb-storage
source/third-party/techmikeny-10bay-rear.jpg,1f0aebeae4be87cc9188d61edc329fa1bc8beb1d7df4e5705c59a13ca3a153b7,1600x1600,real reseller photo,yes,"alternate rear NDC",rear,"isolated; straight","three-riser/PSU frame only; target NDC excluded",support-limited,INSPECTED_ORIGINAL,https://techmikeny.com/products/dell-poweredge-r630-server-10-bay-sff-3-20ghz-16-core-128gb-ram-7-2tb-storage
source/third-party/techmikeny-box.jpg,ec8452567359c65bff49e9b1600128e1c5ab49b2b89a21751c947282c4e3289e,1600x1600,real reseller photo,yes,packaging,shipping box,"isolated","no exterior-device geometry",context-only,INSPECTED_ORIGINAL,https://techmikeny.com/products/dell-poweredge-r630-server-10-bay-sff-3-20ghz-16-core-128gb-ram-7-2tb-storage
source/third-party/usedserversca-r630-10bay-1.jpg,05cf618ad8e3256ccfe8a1778dce2d2063620fcd1be0d329bc125ffb2815733c,1200x1200,real reseller photo,yes,"10SFF; bezel absent",front/quarter,"catalog background","ten carriers and front silhouette",support,INSPECTED_ORIGINAL,https://usedservers.ca/r630-10bay.html
source/third-party/usedserversca-r630-10bay-2.jpg,ad2e096ea469abe355e03ae7ea1f92a08b590b85f0a8bae1a64bdbf06b38a90c,1500x401,real reseller photo,yes,"10SFF; bezel absent",front elevation,"tight catalog crop","ten-carrier row/column order and wings",support,INSPECTED_ORIGINAL,https://usedservers.ca/r630-10bay.html
