name,category,material,visible_feature
PAC600S12F_IEC_AC_Inlet_1_Right,power_inlet,PortBlack,subtle independent recessed IEC AC inlet boundary
PAC600S12F_600W_AC_PSU_2,power_supply,PSUSilver,independent 600 W AC hot-swap PSU block
PAC600S12F_PSU_2_Raised_Seam_Top,power_supply,CageSilver,subtle independent 600 W AC PSU boundary and seam depth
PAC600S12F_PSU_2_Raised_Seam_Bottom,power_supply,CageSilver,subtle independent 600 W AC PSU boundary and seam depth
PAC600S12F_PSU_2_Raised_Seam_Left,power_supply,CageSilver,subtle independent 600 W AC PSU boundary and seam depth
PAC600S12F_PSU_2_Raised_Seam_Right,power_supply,CageSilver,subtle independent 600 W AC PSU boundary and seam depth
PAC600S12F_Blue_AIR_IN_Handle_2,power_handle,HuaweiAirflowBlue,independent blue AIR IN PSU-handle geometry behind exact photo surface
PAC600S12F_IEC_AC_Inlet_2_Top,power_inlet,PortBlack,subtle independent recessed IEC AC inlet boundary
PAC600S12F_IEC_AC_Inlet_2_Bottom,power_inlet,PortBlack,subtle independent recessed IEC AC inlet boundary
PAC600S12F_IEC_AC_Inlet_2_Left,power_inlet,PortBlack,subtle independent recessed IEC AC inlet boundary
PAC600S12F_IEC_AC_Inlet_2_Right,power_inlet,PortBlack,subtle independent recessed IEC AC inlet boundary
Left_Side_Fastener_01,side_fastener,FastenerMetal,independent left-side mounting fastener relief
Left_Side_Fastener_02,side_fastener,FastenerMetal,independent left-side mounting fastener relief
Left_Side_Fastener_03,side_fastener,PortBlack,independent left-side mounting fastener relief
Left_Side_Fastener_04,side_fastener,FastenerMetal,independent left-side mounting fastener relief
Left_Side_Fastener_05,side_fastener,FastenerMetal,independent left-side mounting fastener relief
Left_Side_Fastener_06,side_fastener,PortBlack,independent left-side mounting fastener relief
Left_Side_Fastener_07,side_fastener,FastenerMetal,independent left-side mounting fastener relief
Left_Side_Fastener_08,side_fastener,FastenerMetal,independent left-side mounting fastener relief
