category,item,expected_or_reference,observed,metric,status,evidence
viewer-crosscheck,web-bottom,same orientation/opacity/silhouette,"{'mae_0_to_255': 0.566972, 'p95_0_to_255': 2.0, 'max_0_to_255': 74}",RGB pixel difference (lighting may differ),PASS,qa/renders/three-web/bottom.png | qa/renders/babylon-web/bottom.png
viewer-crosscheck,web-front-left,same orientation/opacity/silhouette,"{'mae_0_to_255': 0.580414, 'p95_0_to_255': 2.0, 'max_0_to_255': 184}",RGB pixel difference (lighting may differ),PASS,qa/renders/three-web/front-left.png | qa/renders/babylon-web/front-left.png
viewer-crosscheck,web-front-right,same orientation/opacity/silhouette,"{'mae_0_to_255': 0.754983, 'p95_0_to_255': 2.0, 'max_0_to_255': 190}",RGB pixel difference (lighting may differ),PASS,qa/renders/three-web/front-right.png | qa/renders/babylon-web/front-right.png
viewer-crosscheck,web-rear-left,same orientation/opacity/silhouette,"{'mae_0_to_255': 0.64352, 'p95_0_to_255': 2.0, 'max_0_to_255': 228}",RGB pixel difference (lighting may differ),PASS,qa/renders/three-web/rear-left.png | qa/renders/babylon-web/rear-left.png
viewer-crosscheck,web-rear-right,same orientation/opacity/silhouette,"{'mae_0_to_255': 0.618299, 'p95_0_to_255': 2.0, 'max_0_to_255': 209}",RGB pixel difference (lighting may differ),PASS,qa/renders/three-web/rear-right.png | qa/renders/babylon-web/rear-right.png
official-comparison,front,qa/reference/official-orthographic/front.png,"{'mae_0_to_255': 9.60733, 'p95_0_to_255': 74.0, 'max_0_to_255': 242}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-orthographic/front.png
official-comparison,rear,qa/reference/official-orthographic/rear.png,"{'mae_0_to_255': 8.427571, 'p95_0_to_255': 66.0, 'max_0_to_255': 236}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-orthographic/rear.png
official-comparison,left,qa/reference/official-orthographic/left.png,"{'mae_0_to_255': 5.557163, 'p95_0_to_255': 27.0, 'max_0_to_255': 235}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-orthographic/left.png
official-comparison,right,qa/reference/official-orthographic/right.png,"{'mae_0_to_255': 3.896384, 'p95_0_to_255': 11.0, 'max_0_to_255': 236}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-orthographic/right.png
official-comparison,top,qa/reference/official-orthographic/top.png,"{'mae_0_to_255': 17.90902, 'p95_0_to_255': 43.0, 'max_0_to_255': 226}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-orthographic/top.png
official-comparison,bottom,qa/reference/official-orthographic/bottom.png,"{'mae_0_to_255': 7.043016, 'p95_0_to_255': 34.0, 'max_0_to_255': 236}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-orthographic/bottom.png
official-comparison,front-left,qa/reference/official-three-quarter/front-left.png,"{'mae_0_to_255': 3.277079, 'p95_0_to_255': 30.0, 'max_0_to_255': 238}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-three-quarter/front-left.png
official-comparison,front-right,qa/reference/official-three-quarter/front-right.png,"{'mae_0_to_255': 2.061085, 'p95_0_to_255': 10.0, 'max_0_to_255': 234}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-three-quarter/front-right.png
official-comparison,rear-left,qa/reference/official-three-quarter/rear-left.png,"{'mae_0_to_255': 2.433713, 'p95_0_to_255': 14.0, 'max_0_to_255': 252}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-three-quarter/rear-left.png
official-comparison,rear-right,qa/reference/official-three-quarter/rear-right.png,"{'mae_0_to_255': 2.959894, 'p95_0_to_255': 25.0, 'max_0_to_255': 234}",diagnostic RGB difference + feature review,PASS,qa/comparisons/official-three-quarter/rear-right.png
