source_id,local_path,url,accessed_at,claimed_model,variant,view_or_dimension,authority,source_class,visual_origin,primary_identity_style_reference,image_inspection_notes,proves,limitations
CISCO-FX3S-FIG-R,source/originals/cisco-fx3s-psu-side-502823.jpg,https://www.cisco.com/c/dam/en/us/td/i/500001-600000/500001-510000/502001-503000/502823.jpg,2026-08-24,N9K-C93180YC-FX3/FX3S,AC shown,rear orthographic,official,manual-figure,technical-diagram,no,"Inspected at original 718x119",FX3 PSU fan ToD management ordering,"User screenshot is too small for proof"
PIOS-EX-1,source/third-party/pios-ex-gallery-1.jpg,https://www.piospartslap.de/Cisco-Nexus-N9K-C93180YC-EX-48-Port-SFP28-25GE-Switch-6x-100G-QSFP28-Rack-Ears-blue-PSUs,2026-08-24,N9K-C93180YC-EX,blue exhaust AC,front/top three-quarter,secondary,used-equipment,real-photograph,yes-if-EX-selected,"Badge N9K-C93180YC-EX readable; top labels seller-specific/serial data; inspected at original 2000x2000",EX front materials port counts top vent line and long cover,"Not the selected target because identity is unresolved"
PIOS-EX-2,source/third-party/pios-ex-gallery-2.jpg,https://www.piospartslap.de/Cisco-Nexus-N9K-C93180YC-EX-48-Port-SFP28-25GE-Switch-6x-100G-QSFP28-Rack-Ears-blue-PSUs,2026-08-24,N9K-C93180YC-EX,blue exhaust AC,rear/top three-quarter,secondary,used-equipment,real-photograph,yes-if-EX-selected,"Two 650W AC PSUs and four blue-latch fans; EX management cluster; inspected at original 2000x2000",exact EX blue airflow rear and top geometry,"Seller inventory straps/labels must not be copied"
PIOS-EX-3,source/third-party/pios-ex-gallery-3.jpg,https://www.piospartslap.de/Cisco-Nexus-N9K-C93180YC-EX-48-Port-SFP28-25GE-Switch-6x-100G-QSFP28-Rack-Ears-blue-PSUs,2026-08-24,N9K-C93180YC-EX,blue exhaust AC,front/top close-up,secondary,used-equipment,real-photograph,yes-if-EX-selected,"EX badge readable; inspected at original 2000x2000",EX logo/model-badge placement and port details,"Partial crop"
PIOS-EX-4,source/third-party/pios-ex-gallery-4.jpg,https://www.piospartslap.de/Cisco-Nexus-N9K-C93180YC-EX-48-Port-SFP28-25GE-Switch-6x-100G-QSFP28-Rack-Ears-blue-PSUs,2026-08-24,N9K-C93180YC-EX,blue exhaust AC,rear-right close-up,secondary,used-equipment,real-photograph,yes-if-EX-selected,"EX RJ45/SFP/USB cluster and 650W AC V2 label visible; inspected at original 2000x2000",EX rear I/O landmark pattern,"Partial crop"
PIOS-EX-5,source/third-party/pios-ex-gallery-5.jpg,https://www.piospartslap.de/Cisco-Nexus-N9K-C93180YC-EX-48-Port-SFP28-25GE-Switch-6x-100G-QSFP28-Rack-Ears-blue-PSUs,2026-08-24,N9K-C93180YC-EX,blue exhaust AC,front and rear composite,secondary,used-equipment,real-photograph,yes-if-EX-selected,"Inspected at original 2000x2000",front/rear pairing for one exact EX unit,"Large white canvas and two images; not a canonical face"
ORM-FX,source/third-party/ormsystems-fx.webp,https://ormsystems.com/n9k-c93180yc-fx-price.html,2026-08-24,N9K-C93180YC-FX,unspecified AC,front three-quarter,secondary,reseller,product-render,no,"Inspected at original 600x600",FX front common layout,"Low resolution render; badge not readable"
MIC-FX-R,source/third-party/made-in-china-fx-rear.webp,https://wangluyang123.en.made-in-china.com/product/VGjRphSoaAUr/China-100-Original-Cisco-Nexus-N9K-93180yc-Fx-48-Ports-10-25g-SFP-6-Port-100g-Qsfp-Switch-in-Stock.html,2026-08-24,N9K-C93180YC-FX,blue exhaust AC,rear/top three-quarter,secondary,marketplace,real-photograph,yes-if-FX-selected,"500W AC labels and L1/L2 rear ports visible; inspected at original 960x960",exact FX rear generation and 500W AC module family,"Seller provenance; no readable chassis badge in this view"
EBAY-FX3,source/third-party/ebay-fx3.jpg,https://www.ebay.com/itm/145310578918,2026-08-24,N9K-C93180YC-FX3,blue exhaust AC,rear/top three-quarter,secondary,marketplace,real-photograph,yes-if-FX3-selected,"Two 650W AC V2 PSUs; four blue fans; ToD cluster between fans and PSU2; inspected at original 1200x744",FX3 rear and top geometry differs from EX/FX,"Listing evidence only; not the selected target"
MIC-FX3S-REJECT,source/third-party/made-in-china-fx3s.webp,https://m.made-in-china.com/product/Cisco-Cisco-N9K-C93180yc-Fx3s-48-Port-10-Gigabit-Switch-2040732452.html,2026-08-24,N9K-C93180YC-FX3S,claimed,front/rear composite,secondary,marketplace,real-photograph,no,"Inspected at original 497x498; visible front has RJ45-style ports and does not match the official 48-SFP28 FX3S layout",nothing reliable for the target,REJECTED_MISMATCHED_STOCK_IMAGE
ZION-FX3-REJECT,source/third-party/zion-fx3-blue.png,https://zionnetworking.com/products/cisco-nexus-n9k-c93180yc-fx3-ethernet-switch-rear-intake,2026-08-24,N9K-C93180YC-FX3,parts display,front with loose PSUs/fans,secondary,reseller,composite-photo,no,"Inspected at original 1200x1200; detached modules bags and large watermark",FX3 timing connectors on front,REJECTED_NOT_COMPLETE_DEVICE_FACE
