face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,QSFP+/QSFP28 cages,4,2,2,"48 50 / 49 51",larger than SFP cage,far device-right,recessed cages with metal lips,black interiors and silver lips,https://www.juniper.net/documentation/us/en/hardware/qfx5110/topics/topic-map/qfx5110-port-panel.html,VERIFIED
front,port number and factory control markings,1,2,52,normal readable orientation,small flush print,around corresponding ports,flush texture,light gray/white factory print,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-front-high.jpg,VERIFIED
rear,management panel,1,1,1,before fan 0,about 15 percent width,far device-left,shallow inset panel,dark gray metal,https://www.juniper.net/documentation/us/en/hardware/qfx5110/qfx5110.pdf,VERIFIED
rear,Juniper logo and model badge,2,1,2,Juniper then QFX5110-48S/RUNNING JUNOS,small factory print,upper management panel,flush factory marking,white readable print,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-rear-high-afi.jpg,VERIFIED
rear,chassis status LEDs,4,4,1,"ALM SYS MST ID",small circles,left column of management panel,flush/recessed lenses,gray/green lenses,https://www.juniper.net/documentation/us/en/hardware/qfx5110/qfx5110.pdf,VERIFIED
rear,C1 SFP management cage,1,1,1,left of console group,one narrow stacked cage,management panel mid-left,recessed,black/silver,https://www.juniper.net/documentation/us/en/hardware/qfx5110/qfx5110.pdf,VERIFIED
rear,CON and C0 RJ-45 ports,2,2,1,CON above C0,stacked RJ-45 pair,management panel center,recessed,black/silver/green,https://www.juniper.net/documentation/us/en/hardware/qfx5110/qfx5110.pdf,VERIFIED
rear,USB port,1,1,1,right of console group,vertical Type-A opening,management panel right,recessed,black/silver,https://www.juniper.net/documentation/us/en/hardware/qfx5110/qfx5110.pdf,VERIFIED
rear,reset button,1,1,1,below console group,tiny circular,management panel lower-center,recessed,black,https://www.juniper.net/documentation/us/en/hardware/qfx5110/qfx5110.pdf,VERIFIED
rear,AFI fan modules,5,1,5,"0 1 2 3 4",equal modules,between management and PSUs,separate removable blocks projecting about 16 mm,azure-blue molded handles with black honeycomb and black screw,https://www.juniper.net/documentation/us/en/hardware/qfx5110/topics/topic-map/qfx5110-cooling-system.html,VERIFIED
rear,AC AFI power supplies,2,1,2,"PSU 0 then PSU 1",wider than one fan,far device-right,separate removable blocks projecting about 24 mm at handles,black metal/plastic with silver cord retainer and AFI/AC/DC/fault markings,https://www.juniper.net/documentation/us/en/hardware/qfx5110/topics/topic-map/qfx5110-power-system.html,VERIFIED
rear,rear rack ears,0,0,0,none,none,rear plane,absent,none,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-rear-high-afi.jpg,VERIFIED
left,side sheet-metal panel,1,1,1,front seam to rear seam,520.192x43.688 mm,device-left side,folded cover and shallow seams,gray textured painted metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-left-high.jpg,VERIFIED
left,stamped rail/mount slots,1,2,multiple,image-locked to exact official side view,small vertical slots,distributed toward front and rear,flush cut/recess detail,dark slots in gray metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-left-high.jpg,VERIFIED_BY_PIXEL_LOCK
right,side sheet-metal panel,1,1,1,front seam to rear seam,520.192x43.688 mm,device-right side,folded cover and shallow seams,gray textured painted metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-right-high.jpg,VERIFIED
right,stamped rail/mount slots,1,2,multiple,image-locked to exact official side view,small vertical slots,distributed toward front and rear,flush cut/recess detail,dark slots in gray metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-right-high.jpg,VERIFIED_BY_PIXEL_LOCK
top,cover panel,1,1,1,front to rear,440.944x520.192 mm,top body plane,slightly inset cover with folded perimeter seam,gray textured painted sheet metal,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-frontwtop-high.jpg,VERIFIED
top,embossed Juniper wordmark,1,1,1,normal left-to-right orientation,large faint wordmark,centered slightly toward port end,very shallow emboss,same gray metal highlight/shadow,https://www.juniper.net/content/dam/www/assets/images/us/en/image-library/qfx-series/qfx5110-48s/qfx5110-48s-frontwtop-high.jpg,VERIFIED
top,cover seams and fasteners,1,perimeter,multiple,image-locked to exact real top angles,small,perimeter and verified longitudinal points,shallow stamped seam and flush screws,gray metal/brass-toned screw centers,https://switches-networks.sell.everychina.com/p-116654966/showimage.html,VERIFIED_BY_PIXEL_LOCK
bottom,conservative underside sheet,1,1,1,none,440.944x520.192 mm,bottom body plane,flat opaque closure,gray painted sheet metal,https://www.juniper.net/us/en/company/images/image-library-logos-and-product-photos/products/qfx5110-48s.html,GENERIC_BOTTOM_FALLBACK
