face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
rear,USB 2.0,1,1,1,one,small,rear I/O/riser area,recessed,black/metal,Dell rear official render table item6,verified
rear,USB 3.0,1,1,1,one,small,bottom I/O right of iDRAC,recessed,black/metal blue inner,Dell rear official render table item10,verified
rear,rear VGA DB15,1,1,1,one,small,bottom I/O near screen-right,recessed blue connector,blue/metal,Dell rear official render table item9,verified
rear,dedicated iDRAC RJ45,1,1,1,one,small,bottom I/O near VGA/USB,recessed RJ45,black/metal,Dell rear official render table item11,verified
rear,system identification button,1,1,1,one,very small,bottom I/O,slightly raised,blue/black,Dell rear official render table item12,verified
rear,OCP 3.0 NIC SFP-style cages,2,1,2,port1 then port2,medium pair,bottom center,recessed two-port module,silver cages black interiors,Dell rear official render table item13; screenshot,verified
rear,LOM RJ45 ports,2,1,2,NIC1 then NIC2,medium pair,bottom center-left,recessed RJ45 pair,silver/black,Dell rear official render table item14,verified
rear,serial COM DB9,1,1,1,Riser3,small,Riser3 filler bracket,projecting/recessed 9-pin metal connector,silver/black,Dell serial manual pp187-188,verified
rear,vent/perforation groups,12,multiple,multiple,match riser/center/PSU order,varied,all major rear blank panels,true punched relief or opaque grille geometry,silver metal black recess,Dell rear official render,verified
left,left side sheet panel,1,1,1,front-to-rear,full depth,physical-left side,closed sheet with top lip and lower return,silver galvanized/painted steel,IT Creations rear-left real photo; official AR,verified
left,regulatory/identity label group,2,1,2,small then large,small,mid-rear left side,flush labels,black/white label stock,IT Creations rear-left real photo,verified
left,rail slots/hooks and round fasteners,12,multiple,multiple,as photographed,small,upper/lower side bands,stamped slots plus shallow protrusions,silver metal,IT Creations rear-left real photo; official AR,verified
right,right side sheet panel,1,1,1,front-to-rear,full depth,physical-right side,closed sheet with top lip and lower return,silver galvanized/painted steel,IT Creations front-right real photo; official AR,verified
right,rail slots/hooks and round fasteners,12,multiple,multiple,as photographed,small,upper/lower side bands,stamped slots plus shallow protrusions,silver metal,IT Creations front-right real photo; official AR,verified
right,large regulatory label,0,0,0,none,none,none,none,none,non-mirror difference from left photo,verified
top,system cover,1,1,1,front-to-rear,majority of top,center/rear,raised removable sheet with folded edges,silver lightly grained steel,Allegro exact 24SFF photo; official AR,verified
top,central cover latch/lock,1,1,1,center,small,upper-middle of removable cover,recessed black pocket with hinged latch,black plastic/metal,Allegro photo; official AR,verified
top,front fixed service-label panel,1,1,1,full width,front band,between drive plane and cover seam,slightly lower fixed sheet,silver with black/white/orange service labels,Allegro photo; Dell manual p12,verified
top,cover seams and stamped edge channels,4,multiple,multiple,asymmetrical,thin,front/rear/side cover margins,shallow stamped relief,silver metal,Allegro/IT Creations/official AR,verified
top,visible fasteners,14,multiple,multiple,asymmetrical,very small,front service panel and cover edges,shallow screw/rivet heads,silver/black,Allegro exact photo,verified
bottom,underside sheet-metal shell,1,1,1,front-to-rear,body width x verified depth,bottom,closed outward surface; no copied top,silver sheet metal,official Dell AR GLB,verified
bottom,underside supported relief,1,multiple,multiple,official AR only,low,bottom,conservative ribs/seams/fasteners only where visible in official AR,silver/dark recess,official Dell AR GLB,verified
inside,hot-plug fan modules,6,1,6,fan1 through fan6,medium row,behind front backplane,deep removable housings with visible rotor recess,black plastic orange latches,Dell technical guide p12; technical specifications pp7-9; official AR,verified
inside,fan cage,1,1,1,full fan row,wide,behind backplane,separate structural cage,blue/silver/black,Dell technical guide p12,verified

