path_or_glob,count,claimed_model,configuration,face_or_angle,visual_origin,inspection_result,imagegen_role
source/third-party/carrierone-RH1288-V3-family-interior.jpg,1,RH1288 V3,"family component structure","exploded technical view",technical-diagram,"component geometry inspected","supporting geometry only"
source/third-party/bs-opt-RH1288-V3-claimed-4HDD-image-1.jpg,1,RH1288 V3,"4LFF","front/top elevated",real-photograph,"exact 4LFF clean product view; 640x480","front/top support"
source/third-party/lnc-RH1288-V3-4GE-rear.jpg,1,RH1288 V3,"four-GE rear; dual AC","straight rear",real-photograph,"exact selected rear face and material inspected","PRIMARY rear identity/style"
source/third-party/qgserver-RH1288-V3-4GE-rear.jpg,1,RH1288 V3,"four-GE rear; dual AC","straight rear",real-photograph-copy,"independent copy/encoding agrees with LNC","rear cross-check"
source/third-party/generic-bottom-dell-r610.jpeg,1,Dell PowerEdge R610,"generic 1U underside only","underside/rear oblique",real-photograph,"galvanized material inspected; Dell vent/label/holes/PSU structure forbidden","PRIMARY generic-bottom material only"
qa/reference/video-frames/o002-contact-sheet.png,10,RH1288 V3,"SFF install video","rail and front/right-side sequence",official-video-frames,"all ten selected frames inspected; wrong front variant","side/rail support only"
qa/reference/video-frames/o003-contact-sheet.png,8,RH1288 V3,"SFF install video","rail and rear/left-side sequence",official-video-frames,"all eight frames inspected; wrong front/rear variant","side/rail support only"
qa/reference/video-frames/o006-contact-sheet.png,8,RH1288 V3,"SFF drive video","front carrier sequence",official-video-frames,"all frames inspected; wrong SFF front","carrier mechanical style only"
qa/reference/video-frames/o007-contact-sheet.png,8,RH1288 V3,"AC PSU video","rear PSU sequence",official-video-frames,"all frames inspected; AC module shape verified","PSU support"
qa/reference/video-frames/o008-contact-sheet.png,8,RH1288 V3,"five-fan video","top/open chassis sequence",official-video-frames,"all frames inspected; five fan modules verified","fan proof"
qa/reference/video-frames/o00a-contact-sheet.png,8,RH1288 V3,"riser video","open rear/top sequence",official-video-frames,"all frames inspected","riser/PCIe support"
qa/reference/video-frames/o00b-contact-sheet.png,8,RH1288 V3,"PCIe video","open rear/right-side sequence",official-video-frames,"all frames inspected","PCIe/side support"
qa/reference/video-frames/o00h-contact-sheet.png,8,RH1288 V3,"FlexIO video","open rear/top sequence",official-video-frames,"all frames inspected; shown two-GE face excluded","FlexIO position only"
