path,visual_origin,face_or_angle,inspection_result,intended_role
source/pdf-pages/owners-manual-p02.png,official-document-render,drive-carrier-detail,"Hard-drive indicator/carrier head geometry inspected",front-detail-support
source/pdf-pages/owners-manual-p03.png,official-document-render,rear,"Exact R720 and R720xd annotated rear diagrams; R720 row retained",rear-geometry-support
source/pdf-pages/owners-manual-p04.png,official-document-render,rear-table,"Exact connector/slot/PSU count table inspected",rear-feature-support
source/pdf-pages/owners-manual-p05.png,official-document-render,AC-PSU,"AC translucent handle and DC contrast inspected",psu-geometry-support
source/pdf-pages/owners-manual-p06.png,official-document-render,PSU-text,"AC/DC mixing prohibition and matched PSU caution inspected",configuration-support
source/pdf-pages/owners-manual-cover-p01.png,official-document-render,memory-page,"Inspected; mistakenly rendered page, not used",rejected
source/pdf-pages/owners-manual-cover-p02.png,official-document-render,memory-page,"Inspected; mistakenly rendered page, not used",rejected
source/pdf-pages/owners-manual-cover-p03.png,official-document-render,memory-page,"Inspected; mistakenly rendered page, not used",rejected
source/pdf-pages/owners-manual-cover-p04.png,official-document-render,memory-page,"Inspected; mistakenly rendered page, not used",rejected
source/pdf-pages/owners-manual-system-cover-p01.png,official-document-render,front-side diagram,"Exact R720 bezel-removal perspective; chassis edge support, bezel excluded",side-support
source/pdf-pages/owners-manual-system-cover-p02.png,official-document-render,top+side,"Exact R720 cover/latch and both chassis edge perspective; inspected",top-left-right-geometry-support
source/pdf-pages/owners-manual-system-cover-p03.png,official-document-render,top-open,"Exact R720 internal/riser/fan arrangement; inspected",geometry-support
source/pdf-pages/readyrails-b6-p01.png,official-document-render,both-sides,"B6 ReadyRails page shows four J-slot engagements per side",side-mechanical-support
source/pdf-pages/readyrails-b6-p02.png,official-document-render,both-sides,"B6 removal page confirms independent left/right engagement",side-mechanical-support
source/third-party/ebay-r720-16sff-front.jpg,real-photograph,front+top,"Duplicate lower-resolution exact 16-SFF populated chassis view; inspected",support
source/third-party/ebay394100550218-01-front-top.jpg,real-photograph,front+top,"Exact 16-SFF populated R720; full cover, latch, stamp and real material character",front-and-top-primary
source/third-party/ebay394100550218-02-front.jpg,real-photograph,front-left-close,"Dell logo, PowerEdge R720 text, controls, DVD, vFlash/USB/grille and carrier construction",front-detail-support
source/third-party/ebay394100550218-03-front-rear.jpg,real-photograph,front-right-close,"Carrier handles/head indicators and right ear; Intel sticker excluded by user lock",front-detail-support
source/third-party/ebay394100550218-04-internal.jpg,real-photograph,rear-top-open,"Exact R720 16-SFF chassis edges, cover underside relationship and rear risers",left-side-multi-reference-primary
source/third-party/ebay394100550218-05-rear.jpg,real-photograph,rear+top,"R720 material and rear depth; 2xSFP NDC and 1100W differ, so not configuration authority",rear-material-support-only
source/third-party/ebay394100550218-06-psu.jpg,real-photograph,rear-PSU-close,"AC PSU inlet/latch/handle/fan geometry; 1100W label differs",psu-geometry-support-only
source/third-party/itinstock-r720-16sff-view1.jpg,real-photograph,front+top,"Exact 16-SFF cage and top silhouette; drives absent and rails present",geometry-support-only
source/third-party/itinstock-r720-16sff-view2.jpg,real-photograph,front+top,"Exact 16-SFF cage/control close view; drives absent",geometry-support-only
source/third-party/itinstock-r720-16sff-rear.jpg,real-photograph,rear,"R720 dual 750W and 4xRJ45; low-profile add-in card differs from lock",material-support-only
source/third-party/suredone-r720-rear.jpg,real-photograph,rear+top,"R720 rear metal/slot/PSU character; missing plate and seller label excluded",material-support-only
source/third-party/walmart-r720-side-angle.jpg,real-photograph,right,"Direct right-side profile; front at screen left; cover seam, rivets and black ear visible",right-primary
source/third-party/grays-r720-top-angle.jpg,real-photograph,front-top-right,"R720 top cover/latch/material; bezel/auction context excluded",top-support
source/third-party/serverlama-01-r720-16sff.jpg,real-photograph,front+top,"Exact 16-SFF populated R720, no bezel; moderate resolution",front-top-support
source/third-party/serverlama-02-r720.jpg,real-photograph,front+top,"Bezel-installed/other front state; rejected for configuration",variant-exclusion
source/third-party/serverlama-03-r720-datacenter.jpg,real-photograph,context,"Rack marketing image with people/other equipment; rejected",rejected
source/third-party/serverlama-04-r720-inside.jpg,real-photograph,internal-close,"CPU/memory close-up only; no exterior role",rejected-nonexterior
source/third-party/serverlama-05-r720.jpg,real-photograph,front-control-close,"Exact R720 Dell/PowerEdge control branding and real black-plastic texture",front-detail-support
source/third-party/serverlama-06-r720-internals.jpg,real-photograph,top-open,"Exact R720 internal top-down; side-edge and riser placement",side-top-support
source/third-party/serverlama-07-r720-internals04.jpg,real-photograph,top-open,"Exact R720 internal top-down from opposite orientation; independent edges",left-right-support
source/third-party/serverlama-08-r720-overview.jpg,real-photograph,front-top-right,"R720 right-side three-quarter and cover geometry; bezel front excluded",right-top-support
source/third-party/serverlama-09-r720.jpg,real-photograph,front-top-right,"R720 right-side three-quarter; front configuration differs",right-support-only
