face,component,expected_count,expected_order,expected_relief,source,comparison,rotation_evidence,status,review_note
front,optical drive,1,right upper band,separate shallow tray,user lock + Owner's Manual item 8,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,Dell logo,1,left control band,flush factory mark,Dell technical guide Figure 9,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,PowerEdge R720 badge,1,control panel,flush factory print,user lock + technical guide Figure 9,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,low-profile PCIe blanking plates,3,slots 1-3 top-to-bottom,recessed plate with perforation and latch,user lock + Owner's Manual Figure 7,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,full-height PCIe blanking plates,4,slots 4-5 then 6-7,recessed plate with perforation and latch,user lock + Owner's Manual Figure 7,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,rear carrying handle,1,horizontal,raised black handle with two mounts,user lock + official Figure 7,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,system identification button,1,first lower control,shallow button,Owner's Manual Figure 7 item 1,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,system identification connector,1,after button,recessed socket,Owner's Manual Figure 7 item 2,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,iDRAC7 Enterprise RJ45,1,after system ID,recessed connector,user lock + Owner's Manual item 3,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,serial connector,1,after iDRAC,recessed connector,user lock + Owner's Manual item 5,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,VGA connector,1,after serial,recessed connector,user lock + Owner's Manual item 6,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,USB 2.0 connectors,2,after VGA,recessed ports,user lock + Owner's Manual item 7,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,network daughter card RJ45,4,left-to-right identical,separate recessed port block,user lock + Owner's Manual item 8,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,AC PSU modules,2,PSU1 then PSU2,separate hot-plug blocks protruding behind rear base,user lock + Owner's Manual items 10-11,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,IEC AC inlets,2,one per PSU,recessed three-pin geometry,user lock + AC configuration requirement,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,PSU fans,2,one per PSU,separate fan hub/blades/grille geometry,user lock,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,blank ventilation field,1,right upper corner,perforated relief,user lock + official Figure 7,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
rear,rear body end strips,2,left and right,vertical closed structure,user lock + official Figure 7,qa/rotation-review-20260827/final/comparisons/rear.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,upper cover seam and hook tabs,1,front-to-rear,stamped/recessed geometry,StorageReview side photograph,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,rail mounting slots/hooks,4,independent pattern,stamped shallow relief,StorageReview side + rails photographs,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,regulatory labels,3,source order,flush texture only,StorageReview side/rails photographs,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
left,side screws/fasteners,8,source-spaced,shallow round geometry,StorageReview side photograph,qa/rotation-review-20260827/final/comparisons/left.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,upper cover seam and hook tabs,1,front-to-rear,stamped/recessed geometry,Walmart R720 side photograph,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,rail mounting slots/hooks,5,independent non-mirrored pattern,stamped shallow relief,Walmart R720 side photograph,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,side screws/fasteners,9,source-spaced,shallow round geometry,Walmart R720 side photograph,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
right,large regulatory labels,0,none,none,Walmart R720 side photograph,qa/rotation-review-20260827/final/comparisons/right.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,removable top cover,1,full panel,separate sheet with perimeter seam,exact-LFF ECS/Flagship/Innercomm photographs,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,black latch,1,rear-biased and left of center,raised recessed latch assembly,exact-LFF ECS + Innercomm photographs,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,front information label band,1,transverse,flush texture only,exact-LFF ECS + Innercomm photographs,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,front transverse ventilation,1,perforated band,recessed/perforated relief,exact-LFF ECS + Flagship photographs,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
top,sparse cover fasteners,6,source-spaced,shallow round geometry,exact-LFF ECS + Innercomm photographs,qa/rotation-review-20260827/final/comparisons/top.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
bottom,conservative fallback sheet,1,none,closed flat opaque geometry,generic-bottom fallback after documented search,qa/rotation-review-20260827/final/comparisons/bottom.png,qa/rotation-review-20260827/final/rotation/,PASS_WITH_BOTTOM_FALLBACK,Conservative bottom-only fallback matches verified ratio/material and introduces no unsupported identity detail.
bottom,unsupported underside identifiers,0,none,none,bottom search log,qa/rotation-review-20260827/final/comparisons/bottom.png,qa/rotation-review-20260827/final/rotation/,PASS_WITH_BOTTOM_FALLBACK,Conservative bottom-only fallback matches verified ratio/material and introduces no unsupported identity detail.
